signal_i,entry_i,signal_time,session,style,direction,entry,stop,risk,target_r,range_ratio,excursion_atr,body_frac,entry_time,exit_time,gross_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
27322,27323,2026-02-19 14:15:00+00:00,NEW_YORK,REVERSAL,1,4978.275,4970.461466694598,7.813533305401506,2.0,0.7472601584893046,0.8765703586849942,0.5582317937092769,2026-02-19 14:20:00+00:00,2026-02-19 14:30:00+00:00,-1.0,-1.063713493056445,stop,112.96472045868835,5.648236022934418,-6.008104869562811,106.95661558912553
27515,27516,2026-02-20 07:20:00+00:00,LONDON,REVERSAL,-1,5011.765,5020.9760405100305,9.211040510030216,2.0,0.4013369840492811,1.1305295907769988,0.955120828538515,2026-02-20 07:25:00+00:00,2026-02-20 08:30:00+00:00,-1.0,-1.0544104110121166,stop,106.95661558912553,5.347830779456277,-5.6388084501897415,101.31780713893579
27805,27806,2026-02-23 08:30:00+00:00,LONDON,REVERSAL,1,5130.685,5120.755021394288,9.929978605712677,2.0,0.5723887408052165,1.0863059649505957,0.5576495602590678,2026-02-23 08:35:00+00:00,2026-02-23 10:00:00+00:00,2.0,1.9483313589714248,target,101.31780713893579,5.06589035694679,9.870033043550375,111.18784018248617
27856,27857,2026-02-23 12:45:00+00:00,NEW_YORK,REVERSAL,-1,5159.825,5165.300725450048,5.47572545004823,2.0,0.7246156533892386,0.24843283361648277,0.9295154185020659,2026-02-23 12:50:00+00:00,2026-02-23 13:20:00+00:00,2.0,1.9057691068138825,target,111.18784018248617,5.559392009124309,10.59491754365707,121.78275772614325
28718,28719,2026-02-26 15:35:00+00:00,NEW_YORK,REVERSAL,1,5168.698,5150.518199198647,18.17980080135294,2.0,0.6671960297766865,0.7502551357650704,0.9303156640857608,2026-02-26 15:40:00+00:00,2026-02-27 00:40:00+00:00,0.3289364974535107,0.30050550386630187,time_exit,121.78275772614325,6.089137886307163,1.8298194486361223,123.61257717477936
29203,29204,2026-03-02 10:00:00+00:00,LONDON,REVERSAL,-1,5385.795,5393.701232157806,7.906232157805789,2.0,1.1314597762386895,0.623831045916599,0.6506410256409035,2026-03-02 10:05:00+00:00,2026-03-02 10:10:00+00:00,-1.0,-1.0681208810024967,stop,123.61257717477936,6.180628858738968,-6.601658741745722,117.01091843303364
29759,29760,2026-03-04 10:20:00+00:00,LONDON,REVERSAL,-1,5188.565,5194.392299333622,5.82729933362225,2.0,1.1446374673016317,0.3056448787873388,0.5531297709922889,2026-03-04 10:25:00+00:00,2026-03-04 11:10:00+00:00,-1.0,-1.0890389304366623,stop,117.01091843303364,5.850545921651682,-6.371472272986125,110.63944616004751
29815,29816,2026-03-04 15:00:00+00:00,NEW_YORK,REVERSAL,1,5159.245,5140.568133066616,18.67686693338419,2.0,1.272579521708843,0.3273258247214543,0.8312875688235559,2026-03-04 15:05:00+00:00,2026-03-04 15:05:00+00:00,-1.0,-1.0276237177166907,stop,110.63944616004751,5.531972308002376,-5.684785949455184,104.95466021059232
30013,30014,2026-03-05 08:30:00+00:00,LONDON,REVERSAL,1,5149.905,5142.279470720659,7.625529279340299,2.0,0.6255282044402718,0.5972480406231131,0.5720207253886139,2026-03-05 08:35:00+00:00,2026-03-05 08:45:00+00:00,2.0,1.9324649501516893,target,104.95466021059232,5.2477330105296165,10.14106011060249,115.09572032119482
30643,30644,2026-03-09 14:00:00+00:00,NEW_YORK,REVERSAL,1,5085.985,5071.611820108744,14.373179891255859,2.0,1.2459301573868478,0.5421200215014954,0.8073903627503729,2026-03-09 14:05:00+00:00,2026-03-09 14:05:00+00:00,-1.0,-1.0353852455648602,stop,115.09572032119482,5.754786016059741,-5.958420532411239,109.13729978878358
