year,feed,entry_time,month,hour_utc,session,technique,direction,direction_text,net_r,gross_r,target_r,reason,h1_bias,h4_bias,h1_align_trade,h4_align_trade,both_align_trade,both_oppose_trade,htf_state,router_mode,h4_adx,h4_adx_band,m15_adx,m15_adx_band,range_atr,range_atr_band,atr
2024,secondary,2024-02-13 03:15:00+00:00,2024-02,3,ASIA,V1 Legacy M15,-1,SHORT,-1.0629403147374277,-1.0,2.0,stop,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,25.227723902037567,22-30,13.555017304327638,<15,1.6272979732720032,1.5+ ATR,1.1552893390630843
2024,secondary,2024-02-13 11:45:00+00:00,2024-02,11,LONDON,Structural Portfolio MTF,1,LONG,-1.0848206117667878,-1.0,3.0,stop,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,27.55903092770714,22-30,55.947561643119165,25+,1.2503423306092656,1.0-1.5 ATR,1.3116407881677772
2024,secondary,2024-02-13 19:30:00+00:00,2024-02,19,OTHER,V1 Legacy M15,-1,SHORT,0.2452037697929668,0.29081121117216646,3.0,time_exit,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,29.350281640149028,22-30,45.86558004072492,25+,0.5316473183721281,<0.6 ATR,2.6709435953665666
2024,secondary,2024-02-14 15:00:00+00:00,2024-02,15,NEW_YORK,V1 Legacy M15,-1,SHORT,-1.0334825933840492,-1.0,2.0,stop,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,39.50165087424555,30+,17.883854635472368,15-20,2.212100346652191,1.5+ ATR,2.4592012782027557
2024,secondary,2024-02-14 19:45:00+00:00,2024-02,19,OTHER,V1 Legacy M15,-1,SHORT,-1.0424407194517962,-1.0,2.0,stop,-1,-1,True,True,True,False,STRONG_ALIGNED,TREND,41.385827419783936,30+,16.472506819728856,15-20,0.557779457845047,<0.6 ATR,2.384454969242352
2024,secondary,2024-02-15 15:45:00+00:00,2024-02,15,NEW_YORK,Structural Frequency M15,-1,SHORT,-0.5119059160678182,-0.48368068059644187,2.0,time_exit,0,-1,False,True,False,False,NEUTRAL_MIX,MIXED,44.53153836922717,30+,53.069936147299266,25+,2.1512721522920644,1.5+ ATR,2.9145545315220276
2024,secondary,2024-02-16 14:00:00+00:00,2024-02,14,NEW_YORK,Structural Frequency M15,-1,SHORT,-1.0306185399407854,-1.0,3.0,stop,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,32.11866964947373,30+,29.66516256004035,25+,2.8283548126479103,1.5+ ATR,2.2698707995513683
2024,secondary,2024-02-19 08:00:00+00:00,2024-02,8,LONDON,Outcome First M15,-1,SHORT,1.9131708391678304,2.0,2.0,target,1,0,False,False,False,False,NEUTRAL_MIX,MIXED,25.03561570374477,22-30,37.49161915130634,25+,0.8639893862472894,0.6-1.0 ATR,1.5740934109237348
2024,secondary,2024-02-19 13:30:00+00:00,2024-02,13,NEW_YORK,Structural Frequency M15,1,LONG,-1.0845620723594358,-1.0,3.0,stop,1,0,True,False,False,False,NEUTRAL_MIX,MIXED,23.936329320205903,22-30,20.45394215334829,20-25,1.351141638971681,1.0-1.5 ATR,1.4654274155200468
2024,secondary,2024-02-19 16:45:00+00:00,2024-02,16,NEW_YORK,Structural Portfolio MTF,1,LONG,2.940917735123258,3.0,3.0,target,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,22.23351031889114,22-30,21.702959421267686,20-25,0.7417653247095396,0.6-1.0 ATR,1.4290233914816928
2024,secondary,2024-02-21 02:30:00+00:00,2024-02,2,ASIA,M15-0591 MTF,1,LONG,0.4842075266339825,0.5662091748111229,4.0,time_exit,1,1,True,True,True,False,STRONG_ALIGNED,TREND,19.501753156384147,18-22,24.978877546342215,20-25,1.1021880701624673,1.0-1.5 ATR,1.1976177530259082
2024,secondary,2024-02-21 13:15:00+00:00,2024-02,13,NEW_YORK,V1 Legacy M15,1,LONG,-1.05573643907546,-1.0,2.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,21.958990395329444,18-22,18.159471838182572,15-20,1.5945659530353296,1.5+ ATR,1.436127490142909
2024,secondary,2024-02-21 19:30:00+00:00,2024-02,19,OTHER,Structural Portfolio MTF,1,LONG,0.6758966310773951,0.716657321468884,3.0,time_exit,0,1,False,True,False,False,NEUTRAL_MIX,MIXED,21.834979852393815,18-22,24.8218618342296,20-25,0.8966771420623137,0.6-1.0 ATR,2.2750663581189214
2024,secondary,2024-02-22 16:00:00+00:00,2024-02,16,NEW_YORK,Structural Portfolio MTF,1,LONG,-1.063514535848665,-1.0,3.0,stop,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,19.024868122299356,18-22,33.10748005077271,25+,0.5480314542969298,<0.6 ATR,2.55459789583821
2024,secondary,2024-02-22 19:00:00+00:00,2024-02,19,OTHER,Structural Portfolio MTF,1,LONG,-1.0597854240995142,-1.0,2.0,stop,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,19.024868122299356,18-22,31.690492408441767,25+,0.5063500689896192,<0.6 ATR,2.231657640049172
2024,secondary,2024-02-23 09:00:00+00:00,2024-02,9,LONDON,Structural Portfolio MTF,-1,SHORT,-1.0615152917391273,-1.0,3.0,stop,-1,0,True,False,False,False,NEUTRAL_MIX,MIXED,15.64295364893967,<18,27.144451687104386,25+,0.8834093967715769,0.6-1.0 ATR,1.6300483165138837
2024,secondary,2024-02-26 12:45:00+00:00,2024-02,12,NEW_YORK,Structural Portfolio MTF,1,LONG,-1.0806333049160888,-1.0,3.0,stop,0,1,False,True,False,False,NEUTRAL_MIX,MIXED,17.20461982397567,<18,15.362158346598218,15-20,0.5207988532190846,<0.6 ATR,1.6129067773629586
2024,secondary,2024-02-26 16:00:00+00:00,2024-02,16,NEW_YORK,Structural Portfolio MTF,1,LONG,1.694380190891867,1.739225240798317,3.0,time_exit,0,1,False,True,False,False,NEUTRAL_MIX,MIXED,16.266153134446846,<18,19.349837813838864,15-20,1.2355372892813212,1.0-1.5 ATR,2.2500332641656033
2024,secondary,2024-02-27 11:45:00+00:00,2024-02,11,LONDON,Outcome First M15,1,LONG,-1.0577512210936015,-1.0,3.0,stop,1,1,True,True,True,False,ALIGNED_WEAK,MIXED,15.268977823887848,<18,34.20818284770184,25+,1.6606243308020194,1.5+ ATR,1.4873923946466023
2024,secondary,2024-02-27 18:15:00+00:00,2024-02,18,OTHER,Structural Portfolio MTF,1,LONG,-1.037168024334009,-1.0,3.0,stop,0,1,False,True,False,False,NEUTRAL_MIX,MIXED,16.224497245219457,<18,17.613594311258495,15-20,1.6598290870640124,1.5+ ATR,2.048403673907144
2024,secondary,2024-02-28 14:45:00+00:00,2024-02,14,NEW_YORK,Structural Portfolio MTF,-1,SHORT,-0.8835813444216023,-0.8453921624690025,3.0,time_exit,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,13.484717360737418,<18,35.779443488937545,25+,0.8088607069480227,0.6-1.0 ATR,1.829734078175336
2024,secondary,2024-02-29 13:30:00+00:00,2024-02,13,NEW_YORK,Structural Frequency M15,1,LONG,2.953220038897448,3.0,3.0,target,0,0,False,False,False,False,NEUTRAL_MIX,MIXED,15.31603991087283,<18,35.07496838442889,25+,1.7652906174275713,1.5+ ATR,1.5408227818962092
2024,secondary,2024-03-01 02:15:00+00:00,2024-03,2,ASIA,V1 Legacy M15,1,LONG,-1.0961898923087785,-1.0,2.0,stop,1,1,True,True,True,False,STRONG_ALIGNED,TREND,18.617533480467486,18-22,12.156134770406759,<15,1.077268670086931,1.0-1.5 ATR,1.1603419227806284
