strategy,month,trades,pnl_rm,ending_balance_rm
Structural Router M15,2026-06,30,-11.0477945119659,21.528040641488698
Structural Router M15,2026-07,29,-4.632152662817301,16.895887978671396
Structural Router M15,2026-08,19,1.6786029884454763,18.574490967116873
Structural Router M15,2026-09,16,-2.460383739279976,16.114107227836897
Outcome First M15,2026-01,18,30.85131884140509,130.8513188414051
Outcome First M15,2026-02,14,-0.8238176888591511,130.02750115254594
Outcome First M15,2026-03,12,129.22620803045766,259.2537091830036
Outcome First M15,2026-04,16,-23.758819055000117,235.49489012800348
Outcome First M15,2026-05,16,-12.859434644413426,222.63545548359005
Outcome First M15,2026-06,12,98.58210424824156,321.2175597318316
Outcome First M15,2026-07,10,191.0403019926435,512.2578617244751
Outcome First M15,2026-08,13,-49.151716517746706,463.1061452067284
Outcome First M15,2026-09,10,-43.51012914499057,419.5960160617378
Route A M15,2026-01,13,-9.083508809365412,90.91649119063459
Route A M15,2026-02,20,-26.89623613865193,64.02025505198266
Route A M15,2026-03,20,-9.969674249378983,54.050580802603676
Route A M15,2026-04,20,-9.132783581510438,44.91779722109324
Route A M15,2026-05,17,-6.736845317704919,38.18095190338832
Route A M15,2026-06,22,16.463957244528125,54.644909147916444
Route A M15,2026-07,28,-4.5566948456852145,50.08821430223123
Route A M15,2026-08,19,-12.323602002519621,37.76461229971161
Route A M15,2026-09,10,14.821486699029279,52.58609899874089
Route B Precision M15,2026-02,1,-5.094732948755706,94.9052670512443
V4 Confluence M15,2026-01,26,-7.2457019039563875,92.75429809604361
V4 Confluence M15,2026-02,20,8.593886815730784,101.3481849117744
V4 Confluence M15,2026-03,32,-27.142640003099146,74.20554490867525
V4 Confluence M15,2026-04,23,-3.4374512080081843,70.76809370066707
V4 Confluence M15,2026-05,27,-16.74801853606342,54.02007516460365
V4 Confluence M15,2026-06,34,42.57950417610669,96.59957934071033
V4 Confluence M15,2026-07,33,-55.74616899365302,40.85341034705731
V4 Confluence M15,2026-08,30,7.467657263476532,48.321067610533845
V4 Confluence M15,2026-09,17,36.35688914442915,84.67795675496299
V5 Native M15,2026-01,7,48.80778076452049,148.8077807645205
V5 Native M15,2026-02,7,-13.811993278008657,134.99578748651183
V5 Native M15,2026-03,2,-4.5195598780989314,130.4762276084129
V5 Native M15,2026-04,4,-2.530148176713311,127.94607943169959
V5 Native M15,2026-05,5,-19.852207130326093,108.0938723013735
V5 Native M15,2026-06,2,-10.707106382154024,97.38676591921947
V5 Native M15,2026-09,1,-4.975705894357276,92.4110600248622
V6 Session Reaction M15,2026-01,31,-21.488893334081595,78.5111066659184
V6 Session Reaction M15,2026-02,29,-10.008256164647818,68.50285050127059
V6 Session Reaction M15,2026-03,31,-8.574807990651756,59.92804251061883
V6 Session Reaction M15,2026-04,41,-32.57981042068607,27.348232089932754
V6 Session Reaction M15,2026-05,46,-20.632805868025343,6.715426221907412
V6 Session Reaction M15,2026-06,33,-3.2473095920557182,3.468116629851694
V6 Session Reaction M15,2026-07,36,-1.5948584560338104,1.8732581738178837
V6 Session Reaction M15,2026-08,35,-1.106360936770481,0.7668972370474028
V6 Session Reaction M15,2026-09,17,-0.14663565361526087,0.6202615834321419
V7 Momentum Alt M15,2026-01,7,12.36251546575329,112.36251546575329
V7 Momentum Alt M15,2026-02,8,-2.9372820405337308,109.42523342521956
V7 Momentum Alt M15,2026-03,10,-10.986331436436743,98.43890198878282
V7 Momentum Alt M15,2026-04,12,8.118970710131194,106.55787269891401
V7 Momentum Alt M15,2026-05,9,-13.318974654601064,93.23889804431295
V7 Momentum Alt M15,2026-06,6,-14.344559916250276,78.89433812806267
V7 Momentum Alt M15,2026-07,13,-11.774958281081112,67.11937984698156
V7 Momentum Alt M15,2026-08,8,-8.218856076834115,58.900523770147444
V7 Momentum Alt M15,2026-09,6,-6.017735628189641,52.8827881419578
