timestamp,open,high,low,close,volume
2020-03-24T17:45:00Z,1627.358,1628.478,1623.808,1624.948,0.1313
2020-03-24T17:50:00Z,1625.118,1627.688,1622.188,1623.658,0.1006
2020-03-24T17:55:00Z,1623.598,1628.388,1622.608,1626.298,0.1856
2020-03-24T18:00:00Z,1627.218,1627.218,1623.528,1623.868,0.1036
2020-03-24T18:05:00Z,1623.868,1627.308,1623.258,1627.288,0.1373
2020-03-24T18:10:00Z,1626.308,1629.048,1623.458,1626.578,0.141
2020-03-24T18:15:00Z,1626.568,1629.258,1625.838,1626.078,0.0999
2020-03-24T18:20:00Z,1626.048,1632.918,1626.048,1629.895,0.2239
2020-03-24T18:25:00Z,1630.198,1630.645,1628.048,1628.048,0.1902
2020-03-24T18:30:00Z,1628.048,1631.648,1624.678,1630.358,0.1506
2020-03-24T18:35:00Z,1630.708,1631.678,1622.768,1625.238,0.1302
2020-03-24T18:40:00Z,1625.248,1625.428,1618.038,1620.318,0.2431
2020-03-24T18:45:00Z,1620.308,1621.818,1615.848,1617.658,0.1306
2020-03-24T18:50:00Z,1617.698,1620.558,1617.408,1620.558,0.0721
2020-03-24T18:55:00Z,1620.538,1622.128,1618.858,1621.308,0.0559
2020-03-24T19:00:00Z,1621.758,1623.005,1620.268,1620.268,0.1273
2020-03-24T19:05:00Z,1620.388,1622.745,1619.218,1620.998,0.0799
2020-03-24T19:10:00Z,1621.028,1622.193,1617.548,1621.218,0.0633
2020-03-24T19:15:00Z,1621.228,1622.578,1619.028,1619.708,0.0614
2020-03-24T19:20:00Z,1619.718,1623.188,1619.108,1621.408,0.0834
2020-03-24T19:25:00Z,1621.458,1627.415,1617.588,1627.415,0.0888
2020-03-24T19:30:00Z,1620.708,1628.088,1620.708,1624.268,0.0917
2020-03-24T19:35:00Z,1624.268,1628.588,1620.765,1626.468,0.1835
2020-03-24T19:40:00Z,1626.508,1627.288,1616.138,1625.913,0.7921
2020-03-24T19:45:00Z,1625.898,1626.218,1615.108,1622.958,0.4353
2020-03-24T19:50:00Z,1622.908,1627.858,1621.058,1626.478,0.1782
2020-03-24T19:55:00Z,1625.228,1629.898,1623.295,1626.548,0.1734
2020-03-24T20:00:00Z,1626.548,1626.898,1621.908,1626.298,0.1069
2020-03-24T20:05:00Z,1626.298,1627.098,1620.188,1620.648,0.0872
2020-03-24T20:10:00Z,1620.658,1623.638,1620.658,1623.308,0.0844
2020-03-24T20:15:00Z,1623.268,1625.698,1622.738,1625.298,0.0963
2020-03-24T20:20:00Z,1625.498,1626.598,1624.255,1625.298,0.064
2020-03-24T20:25:00Z,1625.018,1626.298,1623.905,1626.198,0.0879
2020-03-24T20:30:00Z,1624.578,1626.398,1624.578,1625.798,0.065
2020-03-24T20:35:00Z,1625.408,1627.098,1624.455,1626.018,0.0659
2020-03-24T20:40:00Z,1624.108,1625.208,1623.638,1624.298,0.0428
2020-03-24T20:45:00Z,1624.208,1626.998,1624.008,1626.798,0.0533
2020-03-24T20:50:00Z,1626.108,1628.198,1625.408,1627.398,0.0495
2020-03-24T20:55:00Z,1626.008,1629.858,1625.448,1629.638,0.0837
2020-03-24T22:00:00Z,1628.728,1635.098,1618.268,1628.318,0.205
2020-03-24T22:05:00Z,1628.328,1634.358,1626.205,1630.54,0.1758
2020-03-24T22:10:00Z,1633.908,1634.118,1615.998,1629.038,0.1741
2020-03-24T22:15:00Z,1629.038,1630.698,1624.655,1627.398,0.0858
2020-03-24T22:20:00Z,1627.398,1629.048,1625.688,1627.915,0.1041
2020-03-24T22:25:00Z,1628.005,1633.998,1624.998,1627.848,0.1012
2020-03-24T22:30:00Z,1627.748,1632.448,1626.745,1628.748,0.1034
2020-03-24T22:35:00Z,1628.748,1632.398,1628.198,1632.115,0.1335
2020-03-24T22:40:00Z,1632.201,1632.773,1626.38,1628.218,0.1395
2020-03-24T22:45:00Z,1630.348,1630.638,1628.448,1629.898,0.0309
2020-03-24T22:50:00Z,1629.998,1631.198,1627.911,1630.048,0.037
2020-03-24T22:55:00Z,1629.898,1631.295,1629.248,1630.948,0.0508
2020-03-24T23:00:00Z,1629.988,1630.748,1628.798,1630.498,0.0496
2020-03-24T23:05:00Z,1630.498,1630.498,1628.508,1629.098,0.061
2020-03-24T23:10:00Z,1629.098,1636.698,1628.828,1634.105,0.1677
2020-03-24T23:15:00Z,1635.188,1637.601,1633.655,1637.563,0.1166
2020-03-24T23:20:00Z,1637.645,1637.915,1633.818,1635.058,0.1254
2020-03-24T23:25:00Z,1635.088,1638.438,1633.098,1633.098,0.1133
2020-03-24T23:30:00Z,1633.138,1633.598,1624.868,1630.328,0.0652
2020-03-24T23:35:00Z,1630.338,1634.558,1629.798,1634.508,0.3916
