candidate,trades,trades_per_30d,min_month_trades,end_rm,lowest_rm,max_drawdown_pct,params
M15-0371,579,23.761969904240765,11,6.198815211016977,1.9168274381146075,98.67422012659695,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 12, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 4.0}"
M15-0022,612,25.11627906976744,9,6.133763087753438,2.022160827675933,98.90222214560335,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""PRIMARY"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0079,703,28.850889192886456,12,6.0045267975724785,3.5668165898893003,98.66437225547526,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0117,687,28.194254445964432,9,5.7851876315148125,2.1055763335123454,98.44324405629618,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.5, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0051,693,28.440492476060193,13,5.575583597554354,0.8688904823743516,99.46961992850963,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.0, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0073,702,28.80984952120383,12,5.517504943596506,3.2775152532540086,98.77270383967655,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0121,524,21.504787961696305,8,5.485532071283059,4.0138130780614825,97.80995951261554,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.5, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0127,524,21.504787961696305,8,5.485532071283059,4.0138130780614825,97.80995951261554,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.5, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 2, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
M15-0087,865,35.499316005471954,15,5.2967913341363255,1.0053893384606734,99.23406933403241,"{""body_min"": 0.65, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.2, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.5, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 3.0}"
M15-0139,714,29.302325581395348,9,5.241494865470849,2.4003588388151416,98.6385984372334,"{""body_min"": 0.55, ""breakout_buffer_atr"": 0.1, ""impulse_atr"": 1.5, ""lookback"": 8, ""max_hold_bars"": 40, ""max_risk_atr"": 2.8, ""min_risk_atr"": 0.35, ""pullback_bars"": 4, ""retrace_max"": 0.67, ""session"": ""ALL"", ""stop_buffer_atr"": 0.12, ""target_r"": 2.0}"
