signal_i,signal_time,entry_i,entry_time,direction,entry,stop,risk,target,target_r,impulse_i,impulse_time,broken_level,risk_atr,exit_time,gross_r,net_r,reason,pnl_rm,balance_rm
12490,2026-04-14 07:45:00+00:00,12491,2026-04-14 07:45:00+00:00,1,4777.735,4766.636110081011,11.098889918988789,4811.031669756966,3.0,12487,2026-04-14 06:45:00+00:00,4777.075,1.4185547883104965,2026-04-14 10:45:00+00:00,-1.0,-1.0430469626680945,stop,-2.4754947213479994,44.99110668681354
12519,2026-04-14 15:00:00+00:00,12520,2026-04-14 15:00:00+00:00,1,4803.645,4793.372838904492,10.272161095508636,4834.461483286526,3.0,12517,2026-04-14 14:15:00+00:00,4803.465,0.9253080093819313,2026-04-14 15:15:00+00:00,-1.0,-1.0467637233814444,stop,-2.354752917727037,42.6363537690865
12607,2026-04-15 14:00:00+00:00,12608,2026-04-15 14:00:00+00:00,1,4828.555,4808.830505610909,19.724494389090978,4887.728483167273,3.0,12605,2026-04-15 13:15:00+00:00,4821.298,2.2235338682353762,2026-04-15 15:15:00+00:00,-1.0,-1.0244799937820994,stop,-2.1840045722122565,40.45234919687424
12646,2026-04-16 00:45:00+00:00,12647,2026-04-16 00:45:00+00:00,1,4832.245,4813.399157099728,18.845842900272146,4888.782528700816,3.0,12642,2026-04-15 23:30:00+00:00,4815.615,2.552937035829844,2026-04-16 01:45:00+00:00,-1.0,-1.0256409067271288,stop,-2.074479205476227,38.37786999139801
12790,2026-04-17 13:45:00+00:00,12791,2026-04-17 13:45:00+00:00,1,4864.215,4833.28733113761,30.92766886239042,4956.998006587171,3.0,12788,2026-04-17 13:00:00+00:00,4847.615,2.4136017540980825,2026-04-17 21:00:00+00:00,-1.0,-1.0157277130120697,stop,-1.949073305831862,36.42879668556615
12876,2026-04-20 12:15:00+00:00,12877,2026-04-20 12:15:00+00:00,1,4810.915,4793.566036944109,17.348963055890636,4862.961889167672,3.0,12875,2026-04-20 11:45:00+00:00,4805.605,2.19384258826849,2026-04-20 15:00:00+00:00,-1.0,-1.0277302740486642,stop,-1.8719488600459986,34.55684782552015
12914,2026-04-20 22:45:00+00:00,12915,2026-04-20 22:45:00+00:00,1,4830.315,4818.538533318275,11.776466681724742,4865.644400045174,3.0,12912,2026-04-20 22:00:00+00:00,4821.705,1.650006978624718,2026-04-21 00:45:00+00:00,-1.0,-1.041016674445281,stop,-1.7987127401317313,32.75813508538842
12981,2026-04-21 15:30:00+00:00,12982,2026-04-21 15:30:00+00:00,-1,4742.265,4776.451969408285,34.18696940828431,4639.704091775147,3.0,12978,2026-04-21 14:30:00+00:00,4759.585,2.686652598759249,2026-04-22 02:45:00+00:00,-0.261210635354985,-0.2750821925069648,time_exit,-0.45055898108639875,32.30757610430202
13073,2026-04-22 15:30:00+00:00,13074,2026-04-22 15:30:00+00:00,-1,4735.105,4745.524258215566,10.419258215566515,4703.8472253533,3.0,13070,2026-04-22 14:30:00+00:00,4736.195,1.127159545291507,2026-04-22 19:00:00+00:00,-1.0,-1.0454457016232277,stop,-1.6887908284053927,30.61878527589663
13206,2026-04-24 02:45:00+00:00,13207,2026-04-24 02:45:00+00:00,-1,4683.235,4697.29350434433,14.058504344330686,4641.059486967008,3.0,13205,2026-04-24 02:15:00+00:00,4686.415,1.3732312214484999,2026-04-24 08:30:00+00:00,-1.0,-1.0333124697001541,stop,-1.5819386316327733,29.036846644263857
13243,2026-04-24 12:00:00+00:00,13244,2026-04-24 12:00:00+00:00,1,4706.705,4691.048052856111,15.656947143888829,4753.675841431666,3.0,13241,2026-04-24 11:15:00+00:00,4703.075,1.543890929611283,2026-04-24 13:00:00+00:00,-1.0,-1.0300614478464092,stop,-1.495486814764229,27.541359829499626
13254,2026-04-24 14:45:00+00:00,13255,2026-04-24 14:45:00+00:00,1,4730.235,4705.215754507767,25.019245492232585,4805.292736476697,3.0,13252,2026-04-24 14:00:00+00:00,4717.195,1.9892784007100008,2026-04-24 20:15:00+00:00,-1.0,-1.0189063854921945,stop,-1.4031033697707695,26.138256459728858
13278,2026-04-24 20:45:00+00:00,13279,2026-04-24 20:45:00+00:00,-1,4707.105,4718.195560645279,11.090560645279766,4673.83331806416,3.0,13276,2026-04-24 20:00:00+00:00,4713.515,1.4000866583763427,2026-04-27 00:15:00+00:00,3.0,2.9575575559202827,target,3.865269894552662,30.00352635428152
13304,2026-04-27 04:15:00+00:00,13305,2026-04-27 04:15:00+00:00,1,4727.245,4713.9552439390045,13.289756060995387,4767.114268182986,3.0,13302,2026-04-27 03:30:00+00:00,4723.175,1.5191822048703432,2026-04-27 05:45:00+00:00,-1.0,-1.035570592705416,stop,-1.5535384784977941,28.449987875783723
13340,2026-04-27 13:15:00+00:00,13341,2026-04-27 13:15:00+00:00,-1,4695.835,4708.443641971222,12.608641971221914,4658.009074086334,3.0,13338,2026-04-27 12:30:00+00:00,4699.155,1.8710839783152506,2026-04-28 00:30:00+00:00,0.08565553708836603,0.04841254921768321,time_exit,0.06886682191394351,28.518854697697666
13389,2026-04-28 02:30:00+00:00,13390,2026-04-28 02:30:00+00:00,-1,4675.385,4688.294347088248,12.909347088248069,4636.656958735256,3.0,13387,2026-04-28 01:45:00+00:00,4677.175,2.0952563081843567,2026-04-28 05:45:00+00:00,3.0,2.963782947595729,target,4.226184761899835,32.7450394595975
13424,2026-04-28 11:15:00+00:00,13425,2026-04-28 11:15:00+00:00,-1,4598.315,4616.647151799055,18.332151799055282,4543.318544602834,3.0,13423,2026-04-28 10:45:00+00:00,4604.415,1.9093475509833222,2026-04-28 22:30:00+00:00,0.15164613682410202,0.12656280208847667,time_exit,0.2072151974252199,32.95225465702272
13474,2026-04-29 00:45:00+00:00,13475,2026-04-29 00:45:00+00:00,1,4603.515,4594.183314093455,9.331685906545317,4631.510057719636,3.0,13472,2026-04-29 00:00:00+00:00,4600.375,1.3464245335557943,2026-04-29 01:15:00+00:00,-1.0,-1.0493320826065422,stop,-1.728892900291739,31.22336175673098
13477,2026-04-29 01:30:00+00:00,13478,2026-04-29 01:30:00+00:00,-1,4580.255,4601.198889180988,20.943889180987753,4517.423332457037,3.0,13476,2026-04-29 01:00:00+00:00,4587.745,2.5287192473706592,2026-04-29 02:15:00+00:00,-1.0,-1.02186917129106,stop,-1.595309540163583,29.628052216567397
13525,2026-04-29 13:30:00+00:00,13526,2026-04-29 13:30:00+00:00,-1,4537.595,4560.955135728091,23.360135728090427,4467.514592815729,3.0,13523,2026-04-29 12:45:00+00:00,4550.965,2.5480640395471,2026-04-29 16:15:00+00:00,-1.0,-1.0194245232682597,stop,-1.5101781503120664,28.117874066255332
13571,2026-04-30 02:00:00+00:00,13572,2026-04-30 02:00:00+00:00,1,4578.755,4564.539481203206,14.21551879679373,4621.401556390381,3.0,13569,2026-04-30 01:15:00+00:00,4573.825,1.6315940572731675,2026-04-30 02:45:00+00:00,-1.0,-1.0322095525703412,stop,-1.451176910457931,26.6666971557974
13583,2026-04-30 05:00:00+00:00,13584,2026-04-30 05:00:00+00:00,-1,4541.725,4557.72869167275,16.003691672749483,4493.713924981752,3.0,13581,2026-04-30 04:15:00+00:00,4549.335,1.972331749852015,2026-04-30 05:30:00+00:00,-1.0,-1.0283792333223558,stop,-1.371173878815919,25.29552327698148
13592,2026-04-30 07:15:00+00:00,13593,2026-04-30 07:15:00+00:00,1,4591.535,4573.403884734335,18.131115265664448,4645.928345796993,3.0,13591,2026-04-30 06:45:00+00:00,4582.178,2.0124901580615835,2026-04-30 10:45:00+00:00,3.0,2.9746759372894442,target,3.7622992206590924,29.057822497640572
13607,2026-04-30 11:00:00+00:00,13608,2026-04-30 11:00:00+00:00,1,4639.475,4624.676000930745,14.798999069254933,4683.871997207765,3.0,13605,2026-04-30 10:15:00+00:00,4631.555,1.433318177857563,2026-04-30 12:45:00+00:00,-1.0,-1.0313499242637196,stop,-1.4984391516105107,27.55938334603006
13682,2026-05-01 06:45:00+00:00,13683,2026-05-01 06:45:00+00:00,-1,4593.158,4602.647893158094,9.489893158093764,4564.688320525719,3.0,13681,2026-05-01 06:15:00+00:00,4600.835,1.400906340066924,2026-05-01 09:15:00+00:00,3.0,2.951599476163938,target,4.067213072377174,31.626596418407235
13735,2026-05-01 20:00:00+00:00,13736,2026-05-01 20:00:00+00:00,-1,4610.735,4625.704137620104,14.969137620104448,4565.827587139686,3.0,13734,2026-05-01 19:30:00+00:00,4613.535,1.5364286321158218,2026-05-03 22:15:00+00:00,-1.0,-1.030801607393919,stop,-1.630037321224647,29.996559097182587
13753,2026-05-04 01:30:00+00:00,13754,2026-05-04 01:30:00+00:00,-1,4594.375,4614.89187756575,20.516877565750292,4532.824367302749,3.0,13752,2026-05-04 01:00:00+00:00,4601.665,2.128164103772307,2026-05-04 02:15:00+00:00,-1.0,-1.0223931491781653,stop,-1.5334138259938723,28.463145271188715
13781,2026-05-04 08:30:00+00:00,13782,2026-05-04 08:30:00+00:00,-1,4574.778,4591.849965936565,17.071965936564993,4523.562102190305,3.0,13779,2026-05-04 07:45:00+00:00,4582.545,1.8210648392109152,2026-05-04 15:30:00+00:00,3.0,2.97320298074048,target,4.2313354180773795,32.69448068926609
13847,2026-05-05 02:00:00+00:00,13848,2026-05-05 02:00:00+00:00,1,4540.635,4524.0594693967705,16.57553060322971,4590.361591809689,3.0,13844,2026-05-05 01:00:00+00:00,4530.275,2.0182667751456633,2026-05-05 12:15:00+00:00,1.461793325353844,1.4343997226470004,time_exit,2.34484770163855,35.03932839090464
13888,2026-05-05 12:15:00+00:00,13889,2026-05-05 12:15:00+00:00,1,4565.075,4553.163782684797,11.91121731520252,4600.808651945607,3.0,13886,2026-05-05 11:30:00+00:00,4560.345,1.5026493472938767,2026-05-05 17:15:00+00:00,-1.0,-1.0383258476375332,stop,-1.8191120176067974,33.220216373297845
13930,2026-05-05 23:45:00+00:00,13931,2026-05-05 23:45:00+00:00,1,4584.965,4567.8542922892875,17.11070771071263,4636.297123132138,3.0,13928,2026-05-05 23:00:00+00:00,4576.845,1.9486285469973692,2026-05-06 03:00:00+00:00,3.0,2.9732041182777644,target,4.938524206558379,38.15874057985622
13946,2026-05-06 03:45:00+00:00,13947,2026-05-06 03:45:00+00:00,1,4647.505,4637.192874381802,10.312125618198479,4678.441376854596,3.0,13944,2026-05-06 03:00:00+00:00,4641.585,1.102777669554145,2026-05-06 08:00:00+00:00,3.0,2.9549316487010375,target,5.637823510699487,43.796564090555705
13966,2026-05-06 08:45:00+00:00,13967,2026-05-06 08:45:00+00:00,1,4677.465,4669.025617792491,8.43938220750897,4702.783146622527,3.0,13963,2026-05-06 07:45:00+00:00,4670.345,0.9382458390148131,2026-05-06 09:15:00+00:00,3.0,2.9445757416243312,target,6.448115009377281,50.24467909993299
14090,2026-05-07 16:45:00+00:00,14091,2026-05-07 16:45:00+00:00,-1,4710.975,4731.060564741924,20.085564741923918,4650.718305774229,3.0,14088,2026-05-07 16:00:00+00:00,4726.255,1.6445999962220765,2026-05-08 02:15:00+00:00,-1.0,-1.023454530955592,stop,-2.5711572240618077,47.67352187587118
14320,2026-05-12 05:15:00+00:00,14321,2026-05-12 05:15:00+00:00,-1,4712.535,4725.991857657167,13.456857657167347,4672.164427028498,3.0,14319,2026-05-12 04:45:00+00:00,4717.885,1.5574200640731195,2026-05-12 14:45:00+00:00,3.0,2.96498042024328,target,7.0675529462998865,54.741074822171065
14359,2026-05-12 15:00:00+00:00,14360,2026-05-12 15:00:00+00:00,-1,4672.785,4702.776836673628,29.991836673628313,4582.809489979115,3.0,14355,2026-05-12 13:45:00+00:00,4679.195,2.4287564647893487,2026-05-12 19:30:00+00:00,-1.0,-1.0155801895390713,stop,-2.779697557173649,51.96137726499742
14442,2026-05-13 12:45:00+00:00,14443,2026-05-13 12:45:00+00:00,-1,4682.655,4695.092536116467,12.437536116467527,4645.342391650597,3.0,14441,2026-05-13 12:15:00+00:00,4685.755,1.6445674248052535,2026-05-13 15:45:00+00:00,-1.0,-1.0376493781095444,stop,-2.695884540237,49.26549272476041
14563,2026-05-14 20:00:00+00:00,14564,2026-05-14 20:00:00+00:00,-1,4653.838,4666.013697401434,12.175697401434263,4617.310907795697,3.0,14562,2026-05-14 19:30:00+00:00,4662.975,1.595596630376528,2026-05-15 00:45:00+00:00,3.0,2.961777647336638,target,7.295671756861058,56.561164481621475
14597,2026-05-15 05:30:00+00:00,14598,2026-05-15 05:30:00+00:00,-1,4588.635,4607.6300583461225,18.995058346122278,4531.649824961633,3.0,14596,2026-05-15 05:00:00+00:00,4604.125,1.7202314209070042,2026-05-15 13:45:00+00:00,3.0,2.9758430065526134,target,8.415857288255268,64.97702176987674
14672,2026-05-18 01:15:00+00:00,14673,2026-05-18 01:15:00+00:00,-1,4495.795,4520.339370111507,24.544370111507305,4422.161889665478,3.0,14670,2026-05-18 00:30:00+00:00,4514.358,1.8165651336955262,2026-05-18 02:00:00+00:00,-1.0,-1.0183170111091675,stop,-3.30836032997381,61.668661439902934
14719,2026-05-18 13:00:00+00:00,14720,2026-05-18 13:00:00+00:00,1,4571.065,4548.545775477594,22.51922452240524,4638.622673567215,3.0,14718,2026-05-18 12:30:00+00:00,4566.858,1.8646572017720349,2026-05-18 14:45:00+00:00,-1.0,-1.0202985009339556,stop,-3.14602214108683,58.5226392988161
14757,2026-05-18 23:30:00+00:00,14758,2026-05-18 23:30:00+00:00,1,4585.515,4572.223923914126,13.29107608587401,4625.388228257622,3.0,14756,2026-05-18 23:00:00+00:00,4578.245,1.5468588129972027,2026-05-19 00:30:00+00:00,-1.0,-1.0345007053633044,stop,-3.027085581717375,55.49555371709873
14816,2026-05-19 14:15:00+00:00,14817,2026-05-19 14:15:00+00:00,-1,4492.475,4527.468634344485,34.993634344484235,4387.494096966548,3.0,14813,2026-05-19 13:15:00+00:00,4514.555,2.756065545870189,2026-05-20 01:30:00+00:00,0.5443847247321677,0.5315467469566237,time_exit,1.47492405244402,56.97047776954275
14950,2026-05-21 01:45:00+00:00,14951,2026-05-21 01:45:00+00:00,1,4567.525,4555.897480637138,11.627519362861676,4602.407558088585,3.0,14949,2026-05-21 01:15:00+00:00,4559.915,1.371278399674744,2026-05-21 02:15:00+00:00,-1.0,-1.039282024458189,stop,-2.960419673534032,54.01005809600871
15014,2026-05-21 17:45:00+00:00,15015,2026-05-21 17:45:00+00:00,1,4548.015,4524.677211947689,23.337788052311225,4618.028364156934,3.0,15013,2026-05-21 17:15:00+00:00,4531.475,2.174685936285984,2026-05-22 01:15:00+00:00,-1.0,-1.0194877723193205,stop,-2.7531296905568503,51.25692840545186
15042,2026-05-22 01:45:00+00:00,15043,2026-05-22 01:45:00+00:00,-1,4524.855,4539.588844797539,14.73384479753986,4480.65346560738,3.0,15039,2026-05-22 00:45:00+00:00,4527.265,2.0952447427053,2026-05-22 12:00:00+00:00,0.29659603857979816,0.26588541917137654,time_exit,0.6814234947260402,51.9383519001779
15095,2026-05-22 15:00:00+00:00,15096,2026-05-22 15:00:00+00:00,-1,4500.445,4514.512333015151,14.067333015151235,4458.243000954546,3.0,15092,2026-05-22 14:00:00+00:00,4509.995,1.3754049968339166,2026-05-22 15:30:00+00:00,-1.0,-1.0319921693412162,stop,-2.679998622473603,49.258353277704295
15122,2026-05-24 22:45:00+00:00,15123,2026-05-24 22:45:00+00:00,1,4558.105,4531.724603595716,26.3803964042836,4637.24618921285,3.0,15120,2026-05-24 22:00:00+00:00,4527.698,2.72807426567891,2026-05-25 09:00:00+00:00,-0.08176526110308917,-0.09904364058665091,time_exit,-0.2439363318963611,49.01441694580793
15282,2026-05-26 18:15:00+00:00,15283,2026-05-26 18:15:00+00:00,-1,4487.165,4502.021466920874,14.856466920874482,4442.5955992373765,3.0,15281,2026-05-26 17:45:00+00:00,4496.805,1.8257413460643617,2026-05-26 19:30:00+00:00,-1.0,-1.030203446242627,stop,-2.5247410626572173,46.48967588315071
15326,2026-05-27 06:15:00+00:00,15327,2026-05-27 06:15:00+00:00,-1,4493.745,4509.598301234791,15.853301234790706,4446.185096295628,3.0,15324,2026-05-27 05:30:00+00:00,4495.495,1.9545810486756479,2026-05-27 11:00:00+00:00,3.0,2.9716542003873725,target,6.907562030640618,53.39723791379133
15349,2026-05-27 12:00:00+00:00,15350,2026-05-27 12:00:00+00:00,-1,4428.455,4453.380360407906,24.925360407905828,4353.678918776282,3.0,15347,2026-05-27 11:15:00+00:00,4442.425,2.5666250789519096,2026-05-27 12:30:00+00:00,-1.0,-1.0177668644606455,stop,-2.717296970118925,50.679940943672406
15355,2026-05-27 13:30:00+00:00,15356,2026-05-27 13:30:00+00:00,-1,4404.605,4440.617210171458,36.01221017145872,4296.568369485623,3.0,15354,2026-05-27 13:00:00+00:00,4424.755,2.6314933957198114,2026-05-27 14:15:00+00:00,-1.0,-1.0122308655287446,stop,-2.564990024317959,48.11495091935445
15400,2026-05-28 01:45:00+00:00,15401,2026-05-28 01:45:00+00:00,-1,4417.318,4441.243257933319,23.92525793331879,4345.542226200044,3.0,15399,2026-05-28 01:15:00+00:00,4437.428,2.5674138912440863,2026-05-28 12:00:00+00:00,1.2360577295518462,1.2175947394670106,time_exit,2.929225556455969,51.04417647581042
15447,2026-05-28 13:30:00+00:00,15448,2026-05-28 13:30:00+00:00,1,4428.445,4399.991326407465,28.45367359253487,4513.806020777604,3.0,15445,2026-05-28 12:45:00+00:00,4403.765,2.467663507871009,2026-05-28 17:15:00+00:00,3.0,2.9844362978804893,target,7.6169046534913,58.66108112930172
15492,2026-05-29 01:45:00+00:00,15493,2026-05-29 01:45:00+00:00,1,4506.165,4491.095522525779,15.069477474220548,4551.373432422662,3.0,15490,2026-05-29 01:00:00+00:00,4503.498,2.010430887636224,2026-05-29 12:00:00+00:00,2.1274792078786837,2.0975766116691688,time_exit,6.1523055896025465,64.81338671890427
15607,2026-06-01 07:30:00+00:00,15608,2026-06-01 07:30:00+00:00,-1,4503.635,4515.636659275015,12.00165927501439,4467.630022174957,3.0,15604,2026-06-01 06:30:00+00:00,4504.655,1.4671069174993918,2026-06-01 13:30:00+00:00,3.0,2.962474897038813,target,9.600401557341135,74.4137882762454
