signal_i,signal_time,direction,playbook,session,mode,entry_model,entry,stop,risk,target,target_r,external_liquidity,external_liquidity_type,external_runway_r,trend_vote,day_open_aligned,d1_range_ratio20,h4_range_ratio12,route,quality_score,fresh_internal,fresh_external,trend_aligned,m15_aligned,clean_displacement,fvg_entry,entry_time,exit_time,exit_price,gross_r,cost_r,net_r,reason,balance_before_rm,risk_rm,pnl_rm,balance_after_rm
64883,2026-05-22 12:30:00+00:00,-1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,FVG50,4523.895,4536.473300361919,12.578300361918991,4498.738399276162,2.0,4488.335,PDL,2.8270910199965393,-1,True,0.8261305524917346,0.9559219743506886,A_STRUCTURAL_ASYMMETRIC,3,False,True,False,False,True,True,2026-05-22 13:00:00+00:00,2026-05-22 14:15:00+00:00,4498.738399276162,2.0,0.035965868756769125,1.9640341312432308,target,51.3434069345611,2.567170346728055,5.042010181689419,56.38541711625052
65096,2026-05-25 07:15:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,FVG50,4561.07,4565.047609970114,3.9776099701139174,4553.114780059772,2.0,4551.598,ASIA_L,2.381329509722764,0,True,0.5499104104775915,0.8523753654766768,A_STRUCTURAL_ASYMMETRIC,4,False,True,False,True,True,True,2026-05-25 07:35:00+00:00,2026-05-25 07:55:00+00:00,4565.047609970114,-1.0,0.11466860839222434,-1.1146686083922244,stop,56.38541711625052,2.819270855812526,-3.142552721529304,53.24286439472122
65348,2026-05-26 07:45:00+00:00,1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4529.895,4521.015174484986,8.87982551501409,4556.534476545043,3.0,4559.895,ASIA_H,3.3784447621494054,0,False,0.3635369188696534,1.37857900318132,A_STRUCTURAL_ASYMMETRIC,3,True,True,False,False,True,False,2026-05-26 08:15:00+00:00,2026-05-26 08:30:00+00:00,4521.015174484986,-1.0,0.05101333345278927,-1.0510133334527894,stop,53.24286439472122,2.662143219736061,-2.7979480195035387,50.44491637521768
65640,2026-05-27 09:05:00+00:00,-1,TREND_PULLBACK,LONDON,DISPLACEMENT_RETRACE,FVG50,4493.5815,4499.08963399695,5.508133996950164,4482.5652320061,2.0,4482.365,PDL,2.036352057922155,-2,True,0.9423275600121612,1.4260372354166966,A_STRUCTURAL_ASYMMETRIC,3,False,False,True,False,True,True,2026-05-27 09:20:00+00:00,2026-05-27 10:20:00+00:00,4482.5652320061,2.0,0.081580831230469,1.918419168769531,target,50.44491637521768,2.5222458187608843,4.83872472705968,55.28364110227736
65969,2026-05-28 13:30:00+00:00,-1,TREND_PULLBACK,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,4423.514999999999,4439.650946892604,16.135946892604807,4375.107159322185,3.0,4374.678,H1_L,3.0265964758710133,-2,True,1.5110300820419384,0.960172974400471,A_STRUCTURAL_ASYMMETRIC,3,False,False,True,True,True,False,2026-05-28 13:40:00+00:00,2026-05-28 14:10:00+00:00,4439.650946892604,-1.0,0.027414040399620556,-1.0274140403996206,stop,55.28364110227736,2.764182055113868,-2.8399594536446657,52.44368164863269
66552,2026-06-01 16:05:00+00:00,-1,TREND_PULLBACK,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,4470.7415,4480.29114957719,9.549649577189484,4442.092551268432,3.0,4366.048,H4_L,10.963072430434897,-2,True,0.3492996498249026,2.108425646189982,A_STRUCTURAL_ASYMMETRIC,3,False,False,True,True,True,False,2026-06-01 16:35:00+00:00,2026-06-01 16:55:00+00:00,4480.29114957719,-1.0,0.04681576495412897,-1.046815764954129,stop,52.44368164863269,2.6221840824316347,-2.7449436361012123,49.69873801253148
66745,2026-06-02 09:10:00+00:00,1,TREND_PULLBACK,LONDON,DISPLACEMENT_RETRACE,FVG50,4528.2564999999995,4524.774863253687,3.481636746312688,4542.18304698525,4.0,4545.695,PDH,5.008707476007906,2,True,1.0874453120673373,1.3360818445564067,A_STRUCTURAL_ASYMMETRIC,4,True,False,True,False,True,True,2026-06-02 09:30:00+00:00,2026-06-02 09:35:00+00:00,4524.774863253687,-1.0,0.13006114163965438,-1.1300611416396544,stop,49.69873801253148,2.484936900626574,-2.8081306308245706,46.89060738170691
66753,2026-06-02 09:50:00+00:00,1,TREND_PULLBACK,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4528.2415,4520.677345074407,7.564154925593357,4543.369809851187,2.0,4545.695,PDH,2.307395891766523,2,True,1.0874453120673373,1.3360818445564067,A_STRUCTURAL_ASYMMETRIC,3,True,False,True,False,True,False,2026-06-02 10:00:00+00:00,2026-06-02 12:50:00+00:00,4520.677345074407,-1.0,0.059864473223289916,-1.05986447322329,stop,46.89060738170691,2.3445303690853456,-2.4848844445866454,44.40572293712026
69031,2026-06-12 15:40:00+00:00,-1,TREND_PULLBACK,NEW_YORK,DISPLACEMENT_RETRACE,DISP_BODY50,4214.76,4236.310860712891,21.550860712890426,4171.658278574219,2.0,4170.575,ASIA_L,2.0502661396522135,-2,True,2.516486405736475,0.7453133091662505,A_STRUCTURAL_ASYMMETRIC,5,True,True,True,True,True,False,2026-06-12 15:50:00+00:00,2026-06-14 22:05:00+00:00,4236.310860712891,-1.0,0.01955726992137713,-1.019557269921377,stop,44.40572293712026,2.220286146856013,-2.2637088823327702,42.14201405478749
70329,2026-06-19 08:50:00+00:00,-1,TREND_PULLBACK,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4166.54,4178.879486093058,12.33948609305844,4129.521541720825,3.0,4121.438,ASIA_L,3.6550954926211983,-2,True,1.5629573004259074,0.8818761965539277,A_STRUCTURAL_ASYMMETRIC,1,False,False,True,False,False,False,2026-06-19 09:00:00+00:00,2026-06-19 13:00:00+00:00,4178.879486093058,-1.0,0.03376591187491901,-1.033765911874919,stop,42.14201405478749,2.1071007027393747,-2.178248879379652,39.963765175407836
70580,2026-06-22 10:45:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,FVG50,4208.785,4214.4038104099145,5.6188104099146585,4191.928568770256,3.0,4170.375,H1_L,6.8359665476919425,0,False,0.34680669190376945,0.9541450777202076,A_STRUCTURAL_ASYMMETRIC,3,False,True,False,False,True,True,2026-06-22 10:55:00+00:00,2026-06-22 11:10:00+00:00,4214.4038104099145,-1.0,0.0749052680719285,-1.0749052680719284,stop,39.963765175407836,1.9981882587703919,-2.147863085951768,37.81590208945607
70839,2026-06-23 09:20:00+00:00,1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4113.35,4101.081841822868,12.268158177132136,4150.154474531397,3.0,4198.435,ASIA_H,6.935433890850755,1,False,1.0096135274730047,1.372346216657587,A_STRUCTURAL_ASYMMETRIC,2,False,True,False,False,True,False,2026-06-23 09:30:00+00:00,2026-06-23 22:35:00+00:00,4101.081841822868,-1.0,0.03352866779682781,-1.0335286677968278,stop,37.81590208945607,1.8907951044728035,-1.9541909454025406,35.86171114405353
71651,2026-06-26 08:00:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4028.42,4040.293844850305,11.873844850304977,3992.798465449085,3.0,3982.635,ASIA_L,3.8559540382426234,0,False,0.9871623123456909,0.938756959436429,A_STRUCTURAL_ASYMMETRIC,1,False,True,False,False,False,False,2026-06-26 08:10:00+00:00,2026-06-26 09:15:00+00:00,4040.293844850305,-1.0,0.033926837101097305,-1.0339268371010972,stop,35.86171114405353,1.7930855572026765,-1.853919278810222,34.007791865243306
72210,2026-06-30 08:35:00+00:00,-1,EXTERNAL_SWEEP,LONDON,DISPLACEMENT_RETRACE,DISP_BODY50,4021.0915,4037.856507475623,16.76500747562295,3970.796477573131,3.0,3958.695,PWL,3.7218295363558322,-1,False,0.9082739107188994,2.06350929990849,A_STRUCTURAL_ASYMMETRIC,2,False,True,False,False,True,False,2026-06-30 09:10:00+00:00,2026-06-30 14:10:00+00:00,4037.856507475623,-1.0,0.02398502658496778,-1.0239850265849677,stop,34.007791865243306,1.7003895932621653,-1.7411734828613608,32.26661838238194
73545,2026-07-07 08:50:00+00:00,-1,SESSION_EXPANSION_RETEST,LONDON,DISPLACEMENT_RETRACE,FVG50,4128.5599999999995,4139.254481369835,10.694481369835557,4096.476555890493,3.0,3941.528,PWL,17.48864610934149,-2,True,0.9147843565011625,0.8856729377713342,A_STRUCTURAL_ASYMMETRIC,3,False,False,True,False,True,True,2026-07-07 09:15:00+00:00,2026-07-07 11:20:00+00:00,4139.254481369835,-1.0,0.03860458359060643,-1.0386045835906064,stop,32.26661838238194,1.6133309191190972,-1.6756128874455403,30.591005494936404
73629,2026-07-07 15:50:00+00:00,-1,EXTERNAL_SWEEP,NEW_YORK,DISPLACEMENT_RETRACE,FVG50,4143.4349999999995,4149.383196214059,5.9481962140598625,4131.53860757188,2.0,4128.265,PDL,2.5503529900613486,-2,True,0.9147843565011625,1.32823365785812,A_STRUCTURAL_ASYMMETRIC,4,False,True,True,False,True,True,2026-07-07 16:20:00+00:00,2026-07-07 18:55:00+00:00,4131.53860757188,2.0,0.0696586805627912,1.9303413194372088,target,30.591005494936404,1.5295502747468204,2.9525540955003224,33.54355959043673
